num	question	a	b	c	d	solution
278	In welchem anderen Land gibt es eine große deutschsprachige Bevölkerung?	Österreich	Spanien	Tschechien	Norwegen	a
279	Welche ist die Flagge der Europäischen Union?	Bild 1	Bild 2	Bild 3	Bild 4	b
280	Welches Land ist ein Nachbarland von Deutschland?	Schweden	Norwegen	Finnland	Dänemark	d
281	Welches Land ist ein Nachbarland von Deutschland?	Norwegen	Luxemburg	Spanien	Bulgarien	b
282	Das Europäische Parlament wird regelmäßig gewählt, nämlich alle …	5 Jahre	6 Jahre	7 Jahre	8 Jahre	a
283	Was bedeutet der Begriff "europäische Integration"?	Der Begriff meint den Zusammenschluss europäischer Staaten zur EU	Damit sind amerikanische Einwanderer in Europa gemeint	Damit sind europäische Auswanderer in den USA gemeint	Der Begriff meint den Einwanderungsstopp nach Europa	a
284	Wer wird bei der Europawahl gewählt?	die europäische Verfassung	die Abgeordneten des Europäischen Parlaments	die Europäische Kommission	die Länder, die in die EU eintreten dürfen	b
285	Welches Land ist ein Nachbarland von Deutschland?	Griechenland	Bulgarien	Portugal	Tschechien	d
286	Wo ist der Sitz des Europäischen Parlaments?	Berlin	Straßburg	Paris	London	b
287	Der damalige französische Staatspräsident Francois Mitterrand und der damalige deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich?	Frieden und Sicherheit in den Ländern der EU	einheitliche Feiertage in den Ländern der EU	Reisefreiheit in alle Länder der EU	Freundschaft zwischen England und Deutschland	a
288	Wie viele Mitgliedstaaten hat die EU heute?	21	23	25	27	d
289	2007 wurde das 50-jährige Jubiläum der "Römischen Verträge" gefeiert. Was war der Inhalt der Verträge?	Gründung der Europäischen Wirtschaftsgemeinschaft (EWG)	Festlegung der Oder-Neiße-Linie als Ostgrenze	Beitritt Deutschlands zur NATO	Verpflichtung Deutschlands zu Reparationsleistungen	a
290	An welchen Orten arbeitet das Europäische Parlament?	Straßburg, Luxemburg und Brüssel	Rom, Bern und Wien	Paris, London und Den Haag	Bonn, Zürich und Mailand	a
291	Durch welche Verträge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europäischen Wirtschaftsgemeinschaft zusammen?	durch die "Pariser Verträge"	durch die "Hamburger Verträge"	durch die "Römischen Verträge"	durch die "Londoner Verträge"	c
292	Seit wann bezahlt man in Deutschland mit dem Euro in bar?	1995	1998	2002	2005	c
293	Aus welchem Land sind die meisten Migranten und Migrantinnen nach Deutschland gekommen?	Italien	Türkei	Polen	Marokko	b
294	In der DDR lebten vor allem Migrantinnen/Migranten aus …	Chile, Ungarn, Simbabwe.	Nordkorea, Mexiko, Ägypten.	Frankreich, Rumänien, Somalia.	Vietnam, Polen, Mosambik	d
295	Ausländische Arbeitnehmer und Arbeitnehmerinnen, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man …	Gastarbeiter/Gastarbeiterinnen	Zeitarbeiter/Zeitarbeiterinnen	Schwarzarbeiter/Schwarzarbeiterinnen	Schichtarbeiter/Schichtarbeiterinnen	a
296	Aus welchem Land kamen die ersten Gastarbeiter und Gastarbeiterinnen nach Deutschland?	Italien	Portugal	Türkei	Spanien	a
297	Was bedeutet die Abkürzung EU?	Einheitliche Union	Europäische Union	Europäische Unternehmen	Euro Union	b
298	Warum muss man in Deutschland bei der Steuererklärung aufschreiben, ob man zu einer Kirche gehört oder nicht? Weil …	die Kirche für die Steuererklärung verantwortlich ist.	das für die Statistik in Deutschland wichtig ist.	man mehr Steuern zahlen muss, wenn man nicht zu einer Kirche gehört.	es eine Kirchensteuer gibt, die an die Einkommen- und Lohnsteuer geknüpft ist.	d
299	Die Menschen in Deutschland leben nach dem Grundsatz der religiösen Toleranz. Was bedeutet das?	Jeder kann glauben, was er möchte.	Alle Menschen glauben an Gott.	Es dürfen keine Moscheen gebaut werden.	Der Staat entscheidet, an welchen Gott die Menschen glauben.	a
300	Welche Religion hat die europäische und deutsche Kultur geprägt?	das Christentum	der Hinduismus	der Buddhismus	der Islam	a
NW-1	Welches Wappen gehört zum Bundesland Nordrhein-Westfalen?	1	2	3	4	b
NW-2	Welches ist ein Landkreis in Nordrhein-Westfalen?	Ammerland	Nordfriesland	Rhein-Sieg-Kreis	Vogtlandkreis	c
NW-3	Für wie viele Jahre wird der Landtag in Nordrhein-Westfalen gewählt?	3	4	5	6	c
NW-4	Ab welchem Alter darf man in Nordrhein-Westfalen bei Kommunalwahlen wählen?	14	18	16	20	c
NW-5	Welche Farben hat die Landesflagge von Nordrhein-Westfalen?	schwarz-gold	rot-weiß	grün-weiß-rot	blau-weiß-rot	c
NW-6	Wo können Sie sich in Nordrhein-Westfalen über politische Themen informieren?	bei den Kirchen	bei der Verbraucherzentrale	bei der Landeszentrale für politische Bildung	beim Ordnungsamt der Gemeinde	c
NW-7	Die Landeshauptstadt von Nordrhein-Westfalen heißt …	Dortmund	Bonn	Köln	Düsseldorf	d
NW-8	Welches Bundesland ist Nordrhein-Westfalen?	1	2	3	4	c
NW-9	Wie nennt man den Regierungschef / die Regierungschefin in Nordrhein-Westfalen?	Ministerpräsident / Ministerpräsidentin	Bürgermeister / Bürgermeisterin	Erster Minister / Erste Ministerin	Premierminister / Premierministerin	a
NW-10	Welchen Minister / welche Ministerin hat Nordrhein-Westfalen nicht?	Finanzminister / Finanzministerin	Innenminister / Innenministerin	Außenminister / Außenministerin	Justizminister / Justizministerin	c
